,SALE_YEAR,NBHD_ID,Last_Year_Price,Median_Neighbor_Last_Year_Price,SALE_PRICE
590,2002,36,207475.0,209000.0,205000.0
591,2003,36,205000.0,210000.0,211000.0
592,2004,36,211000.0,202750.0,242500.0
593,2005,36,242500.0,215000.0,231000.0
594,2006,36,231000.0,236800.0,275000.0
595,2007,36,275000.0,255000.0,258500.0
596,2008,36,258500.0,261500.0,300000.0
597,2009,36,300000.0,271070.0,300750.0
598,2010,36,300750.0,253250.0,308450.0
599,2011,36,308450.0,295000.0,307500.0
600,2012,36,307500.0,265000.0,355000.0
601,2013,36,355000.0,305750.0,417000.0
602,2014,36,417000.0,349000.0,508250.0
603,2015,36,508250.0,377500.0,518250.0
604,2016,36,518250.0,410000.0,580475.0
605,2017,36,580475.0,460000.0,547500.0
606,2018,36,547500.0,510000.0,620000.0
607,2019,36,620000.0,545000.0,672550.0
609,2002,37,430000.0,285200.0,560000.0
610,2003,37,560000.0,335000.0,630000.0
611,2004,37,630000.0,339667.0,600000.0
612,2005,37,600000.0,392000.0,577000.0
613,2006,37,577000.0,376750.0,660000.0
614,2007,37,660000.0,388750.0,720000.0
615,2008,37,720000.0,389000.0,739500.0
616,2009,37,739500.0,412000.0,711000.0
617,2010,37,711000.0,333000.0,614320.0
618,2011,37,614320.0,398500.0,750000.0
619,2012,37,750000.0,417250.0,605000.0
620,2013,37,605000.0,448000.0,775000.0
621,2014,37,775000.0,481000.0,740000.0
622,2015,37,740000.0,543000.0,955750.0
623,2016,37,955750.0,594000.0,970000.0
624,2017,37,970000.0,625000.0,1110000.0
625,2018,37,1110000.0,547254.0,997499.5
626,2019,37,997499.5,750000.0,1037500.0
628,2002,39,244000.0,215987.5,247000.0
629,2003,39,247000.0,223125.0,160000.0
630,2004,39,160000.0,240000.0,183000.0
631,2005,39,183000.0,243700.0,226000.0
632,2006,39,226000.0,258762.75,217500.0
633,2007,39,217500.0,287500.0,150500.0
634,2008,39,150500.0,289250.0,271070.0
635,2009,39,271070.0,300891.0,252346.2377285217
636,2010,39,252346.2377285217,310375.0,169150.0
637,2011,39,169150.0,304200.0,261000.0
638,2012,39,261000.0,323750.0,261259.09520545363
639,2013,39,261259.09520545363,345125.0,275000.0
640,2014,39,275000.0,390000.0,305000.0
641,2015,39,305000.0,444000.0,365000.0
642,2016,39,365000.0,491050.0,426000.0
643,2017,39,426000.0,528500.0,510000.0
644,2018,39,510000.0,563750.0,526000.0
645,2019,39,526000.0,617500.0,550000.0
647,2002,41,143750.0,195000.0,145650.0
648,2003,41,145650.0,189900.0,198250.0
649,2004,41,198250.0,223500.0,157700.0
650,2005,41,157700.0,250000.0,159500.0
651,2006,41,159500.0,288000.0,201500.0
652,2007,41,201500.0,267500.0,158500.0
653,2008,41,158500.0,225849.5,193500.0
654,2009,41,193500.0,260000.0,195000.0
